id,doctor_id,date,start_time,end_time,is_available,slot_duration_min
1,1,2026-09-15,09:30,10:00,1,30
2,1,2026-09-15,15:30,16:00,0,30
3,1,2026-09-18,09:00,09:30,1,30
4,1,2026-09-23,18:30,19:00,0,30
5,1,2026-09-30,14:30,15:00,1,30
6,1,2026-09-02,11:30,12:00,1,30
7,1,2026-09-27,17:00,17:30,1,30
8,1,2026-09-25,16:30,17:00,1,30
9,1,2026-09-04,17:30,18:00,1,30
10,1,2026-09-13,14:00,14:30,1,30
11,1,2026-09-28,16:00,16:30,1,30
12,1,2026-09-16,13:00,13:30,1,30
13,1,2026-09-19,15:30,16:00,1,30
14,1,2026-09-18,18:30,19:00,1,30
15,1,2026-09-08,13:00,13:30,1,30
16,1,2026-09-23,08:30,09:00,1,30
17,1,2026-09-17,18:30,19:00,0,30
18,1,2026-09-03,15:30,16:00,0,30
19,1,2026-09-18,11:30,12:00,1,30
20,1,2026-09-14,13:00,13:30,0,30
21,1,2026-09-28,18:30,19:00,1,30
22,1,2026-09-24,12:30,13:00,1,30
23,1,2026-09-17,16:30,17:00,0,30
24,1,2026-09-29,12:30,13:00,1,30
25,1,2026-09-03,18:00,18:30,1,30
26,1,2026-09-17,12:30,13:00,1,30
27,1,2026-09-06,16:30,17:00,0,30
28,1,2026-09-05,12:30,13:00,1,30
29,1,2026-09-28,13:00,13:30,1,30
30,1,2026-09-25,10:30,11:00,1,30
31,1,2026-09-26,18:00,18:30,1,30
32,1,2026-09-25,17:00,17:30,0,30
33,1,2026-09-03,18:00,18:30,1,30
34,1,2026-09-22,17:30,18:00,1,30
35,1,2026-09-06,09:30,10:00,1,30
36,1,2026-09-17,10:30,11:00,0,30
37,1,2026-09-24,14:30,15:00,1,30
38,1,2026-09-09,09:30,10:00,1,30
39,1,2026-09-15,08:00,08:30,1,30
40,1,2026-10-01,17:30,18:00,1,30
41,1,2026-09-15,16:00,16:30,1,30
42,1,2026-09-09,18:30,19:00,1,30
43,1,2026-09-15,10:30,11:00,1,30
44,1,2026-09-02,11:30,12:00,1,30
45,1,2026-09-23,17:00,17:30,1,30
46,1,2026-09-08,13:00,13:30,0,30
47,1,2026-09-15,18:00,18:30,0,30
48,1,2026-09-16,14:30,15:00,1,30
49,1,2026-09-12,12:00,12:30,1,30
50,1,2026-09-17,14:00,14:30,1,30
51,1,2026-09-16,15:00,15:30,1,30
52,1,2026-09-17,09:00,09:30,0,30
53,1,2026-09-15,09:00,09:30,1,30
54,1,2026-10-01,09:30,10:00,1,30
55,1,2026-09-14,14:00,14:30,1,30
56,1,2026-09-28,17:30,18:00,0,30
57,1,2026-09-02,17:00,17:30,1,30
58,1,2026-09-07,10:30,11:00,0,30
59,1,2026-10-01,09:30,10:00,1,30
60,1,2026-09-09,13:30,14:00,1,30
61,1,2026-09-28,14:00,14:30,1,30
62,1,2026-09-28,11:00,11:30,1,30
63,1,2026-09-28,12:00,12:30,1,30
64,1,2026-09-23,16:00,16:30,1,30
65,1,2026-09-15,08:00,08:30,1,30
66,1,2026-09-18,08:30,09:00,1,30
67,1,2026-09-10,16:30,17:00,1,30
68,1,2026-09-04,14:00,14:30,1,30
69,1,2026-09-09,13:00,13:30,1,30
70,1,2026-09-24,13:30,14:00,1,30
71,1,2026-09-04,16:30,17:00,1,30
72,1,2026-09-13,16:00,16:30,0,30
73,1,2026-09-19,08:30,09:00,1,30
74,1,2026-09-19,10:30,11:00,1,30
75,1,2026-09-05,12:30,13:00,1,30
76,1,2026-09-04,08:00,08:30,1,30
77,1,2026-10-01,09:30,10:00,1,30
78,1,2026-09-12,10:00,10:30,1,30
79,1,2026-09-19,16:30,17:00,0,30
80,1,2026-09-10,16:30,17:00,1,30
81,1,2026-09-19,18:00,18:30,1,30
82,1,2026-09-09,08:30,09:00,1,30
83,1,2026-09-25,12:00,12:30,1,30
84,1,2026-09-23,08:00,08:30,1,30
85,1,2026-09-24,17:00,17:30,1,30
86,1,2026-09-17,14:30,15:00,1,30
87,1,2026-09-30,15:30,16:00,0,30
88,1,2026-09-11,16:30,17:00,1,30
89,1,2026-09-25,18:00,18:30,1,30
90,1,2026-10-01,14:00,14:30,1,30
91,1,2026-09-10,09:30,10:00,1,30
92,1,2026-09-27,11:30,12:00,1,30
93,1,2026-09-29,16:30,17:00,1,30
94,1,2026-10-01,08:30,09:00,1,30
95,1,2026-09-01,12:30,13:00,0,30
96,1,2026-09-25,09:30,10:00,1,30
97,1,2026-09-01,18:30,19:00,1,30
98,1,2026-09-29,12:30,13:00,0,30
99,1,2026-09-21,16:30,17:00,1,30
100,1,2026-09-02,12:30,13:00,0,30
101,2,2026-09-02,11:00,11:30,0,30
102,2,2026-09-06,11:30,12:00,0,30
103,2,2026-09-25,13:00,13:30,1,30
104,2,2026-09-18,13:00,13:30,0,30
105,2,2026-09-09,16:00,16:30,1,30
106,2,2026-09-28,09:30,10:00,1,30
107,2,2026-09-30,16:30,17:00,1,30
108,2,2026-09-21,16:30,17:00,1,30
109,2,2026-09-22,09:30,10:00,1,30
110,2,2026-09-24,08:00,08:30,0,30
111,2,2026-09-24,18:00,18:30,0,30
112,2,2026-09-05,09:30,10:00,0,30
113,2,2026-09-26,10:00,10:30,0,30
114,2,2026-09-25,18:30,19:00,1,30
115,2,2026-09-17,11:00,11:30,0,30
116,2,2026-09-11,16:30,17:00,1,30
117,2,2026-09-13,08:00,08:30,0,30
118,2,2026-09-01,17:30,18:00,1,30
119,2,2026-09-04,10:00,10:30,0,30
120,2,2026-09-22,09:30,10:00,0,30
121,2,2026-09-11,14:00,14:30,1,30
122,2,2026-09-20,13:00,13:30,1,30
123,2,2026-09-27,15:00,15:30,1,30
124,2,2026-09-02,15:00,15:30,1,30
125,2,2026-09-04,13:00,13:30,1,30
126,2,2026-09-05,18:00,18:30,1,30
127,2,2026-09-06,15:30,16:00,1,30
128,2,2026-09-07,10:00,10:30,0,30
129,2,2026-09-20,14:30,15:00,1,30
130,2,2026-09-25,12:30,13:00,0,30
131,2,2026-09-27,12:30,13:00,1,30
132,2,2026-09-03,08:00,08:30,1,30
133,2,2026-09-27,14:30,15:00,1,30
134,2,2026-09-21,08:30,09:00,1,30
135,2,2026-09-27,08:30,09:00,1,30
136,2,2026-09-05,17:30,18:00,1,30
137,2,2026-09-01,18:00,18:30,0,30
138,2,2026-09-17,18:00,18:30,1,30
139,2,2026-09-25,14:30,15:00,0,30
140,2,2026-09-26,12:30,13:00,0,30
141,2,2026-09-28,12:00,12:30,1,30
142,2,2026-09-30,15:30,16:00,0,30
143,2,2026-09-18,16:30,17:00,1,30
144,2,2026-09-08,18:30,19:00,1,30
145,2,2026-09-16,09:30,10:00,1,30
146,2,2026-09-24,08:00,08:30,0,30
147,2,2026-09-14,16:00,16:30,1,30
148,2,2026-09-25,13:30,14:00,1,30
149,2,2026-09-01,16:30,17:00,0,30
